file_name,state,city,agency,station_location,start_month,start_month_num,start_year,latitude,longitude
UP026,Uttar Pradesh,Meerut,UPPCB,"Pallavpuram Phase 2, Meerut ",October,10,2019,29.0641002,77.7151616
UP027,Uttar Pradesh,Kanpur,IITK,"IITK, Kanpur ",December,12,2020,26.5123251,80.2333343
UP028,Uttar Pradesh,Agra,UPPCB,"Shastripuram, Agra ",June,6,2021,27.2191944,77.9172985
UP029,Uttar Pradesh,Varanasi,UPPCB,"Bhelupur, Varanasi ",June,6,2021,25.3016276,82.9962631
UP030,Uttar Pradesh,Agra,UPPCB,"Sector 3B Avas Vikas Colony, Agra ",June,6,2021,27.1928793,77.96733669999999
UP031,Uttar Pradesh,Varanasi,UPPCB,"IESD Banaras Hindu University, Varanasi ",June,6,2021,25.3356491,83.0076292
UP032,Uttar Pradesh,Gorakhpur,UPPCB,"Madan Mohan Malaviya University of Technology, Gorakhpur ",June,6,2021,26.7314295,83.4331276
UP033,Uttar Pradesh,Prayagraj,UPPCB,"Motilal Nehru NIT, Prayagraj ",June,6,2021,25.4239934,81.8112481
UP034,Uttar Pradesh,Agra,UPPCB,"Manoharpur, Agra ",June,6,2021,27.2344638,78.0266735
UP035,Uttar Pradesh,Lucknow,UPPCB,"B R Ambedkar University, Lucknow ",June,6,2021,26.764808,80.9305892
UP036,Uttar Pradesh,Prayagraj,UPPCB,"Jhunsi, Prayagraj ",June,6,2021,25.4290183,81.9139692
UP037,Uttar Pradesh,Firozabad,UPPCB,"Nagla Bhau, Firozabad ",July,7,2021,27.1668521,78.3764899
UP038,Uttar Pradesh,Prayagraj,UPPCB,"Nagar Nigam, Prayagraj ",July,7,2021,25.3791217,81.8088078
UP039,Uttar Pradesh,Lucknow,UPPCB,"Kukrail Picnic Spot 1, Lucknow ",July,7,2021,26.9013733,80.98313449999999
UP040,Uttar Pradesh,Kanpur,UPPCB,"NSI Kalyanpur, Kanpur ",July,7,2021,26.5068262,80.251966
UP041,Uttar Pradesh,Varanasi,UPPCB,"Maldahiya, Varanasi ",July,7,2021,25.325495,82.9951758
UP042,Uttar Pradesh,Agra,UPPCB,"Rohta, Agra ",July,7,2021,27.1092929,78.0024134
UP043,Uttar Pradesh,Vrindavan,UPPCB,"Omex Eternity, Vrindavan ",August,8,2021,27.5653498,77.6392166
UP044,Uttar Pradesh,Kanpur,UPPCB,"FTI Kidwai Nagar, Kanpur ",September,9,2021,26.4283984,80.3281672
UP045,Uttar Pradesh,Agra,UPPCB,"Shahjahan Garden, Agra ",September,9,2021,27.1747896,78.0251692
UP046,Uttar Pradesh,Moradabad,UPPCB,"Employment Office, Moradabad ",November,11,2021,28.8853105,78.7387581
UP047,Uttar Pradesh,Moradabad,UPPCB,"Buddhi Vihar, Moradabad ",December,12,2021,28.8320769,78.7221251
UP048,Uttar Pradesh,Moradabad,UPPCB,"Jigar Colony, Moradabad ",December,12,2021,28.8552539,78.7709978
UP049,Uttar Pradesh,Moradabad,UPPCB,"Eco Herbal Park, Moradabad ",January,1,2022,28.8412553,78.6966886
UP050,Uttar Pradesh,Baghpat,UPPCB,"Sardar Patel Inter College, Baghpat ",January,1,2022,28.9421565,77.2161925
UP051,Uttar Pradesh,Firozabad,UPPCB,"Vibhab Nagar, Firozabad ",February,2,2022,27.1640151,78.3913328
UP052,Uttar Pradesh,Jhansi,UPPCB,"Shivaji Nagar, Jhansi ",February,2,2022,25.4504122,78.594297
UP053,Uttar Pradesh,Bareilly,UPPCB,"Rajendra Nagar, Bareilly ",May,5,2022,28.3872102,79.4261906
UP054,Uttar Pradesh,Khurja,UPPCB,"Kalindi Kunj, Khurja ",June,6,2022,28.2360265,77.8686097
UP055,Uttar Pradesh,Moradabad,UPPCB,"Transport Nagar, Moradabad ",June,6,2022,28.8796553,78.8095335
UP056,Uttar Pradesh,Moradabad,UPPCB,"Kashiram Nagar, Moradabad ",June,6,2022,28.8507769,78.7433698
UP057,Uttar Pradesh,Bareilly,UPPCB,"Civil Lines, Bareilly ",August,8,2022,28.3349422,79.43390029999999
WB001,West Bengal,Haldia,WBPCB,"Priyambada Housing Estate, Haldia ",December,12,2015,22.078297,88.1416722
WB002,West Bengal,Kolkata,WBPCB,"Victoria, Kolkata ",January,1,2016,22.5448082,88.3425578
WB003,West Bengal,Howrah,WBPCB,"Ghusuri, Howrah ",June,6,2016,22.6114858,88.35401449999999
WB004,West Bengal,Durgapur,WBPCB,"Sidhu Kanhu Indoor Stadium, Durgapur ",July,7,2016,23.5404375,87.2914219
WB005,West Bengal,Kolkata,WBPCB,"Rabindra Bharati University, Kolkata ",September,9,2016,22.5844542,88.3593841
WB006,West Bengal,Howrah,WBPCB,"Padmapukur, Howrah ",January,1,2018,22.5682566,88.3057431
WB007,West Bengal,Asansol,WBPCB,"Asansol Court Area, Asansol ",February,2,2018,23.6871984,86.9461361
WB008,West Bengal,Siliguri,WBPCB,"Ward 32 Bapupara, Siliguri ",February,2,2018,26.7164127,88.4309916
WB009,West Bengal,Kolkata,WBPCB,"Fort William, Kolkata ",May,5,2019,22.5587655,88.3377644
WB010,West Bengal,Howrah,WBPCB,"Belur Math, Howrah ",May,5,2019,22.6326565,88.3563815
WB011,West Bengal,Kolkata,WBPCB,"Jadavpur, Kolkata ",June,6,2019,22.4954988,88.3709008
WB012,West Bengal,Kolkata,WBPCB,"Rabindra Sarobar, Kolkata ",August,8,2019,22.5121451,88.3636952
WB013,West Bengal,Kolkata,WBPCB,"Bidhannagar, Kolkata ",August,8,2019,22.5931155,88.38288109999999
WB014,West Bengal,Kolkata,WBPCB,"Ballygunge, Kolkata ",August,8,2019,22.5280352,88.36590830000002
